"doc_id","PublicDescription","topic_response","Domain","Level_1","Level_2","combined_features","Primary_Sector","Secondary_Sector"
427,"BREEZE, funded by EIT Food and co-funded by the European Union, is a revolutionary and environmentally friendly concept for fish health management, under development in response to the needs of salmon farming for new approaches and effective methods to improve the management of sea lice. ,The salmon farming sector is losing approximately US$1 billion each year due to ectoparasites such as sea lice. Their resistance to existing treatments, increased industry and consumer awareness of fish welfare, and a growing demand for treatment methods with minimum environmental impact are the principal drivers behind the project.,To further support the successful scaling of sustainably managed fish farms, Aqua Pharma Group has formed a consortium with Pulcea Ltd, Scottish aquaculture research and development company, and the prestigious Norwegian University of Science and Technology (NTNU). The diverse and unique skillset will enable the development of an innovative new concept, code-named “BREEZE”.,,BREEZE rises to the challenge of increasing sea lice tolerance to bath treatments, while improving fish welfare and experience, validating, and minimising environmental impact, and helping farms avoid the financial losses they suffer as a result of sea lice.,,BREEZE takes existing hydrogen peroxide (oxygenated water) bath treatments and introduces an acoustic technology to counteract sea lice tolerance to treatments. BREEZE will ensure that little or no residue remains following release, making it suitable for use even in environmentally sensitive regions.,,The acoustic technology has proven to be especially effective against gravid female sea lice and their eggs and has been shown to be safe with no pathological or behavioural side effects for the fish.,,Further information on the project can be found in this leaflet and this video.,,About the Consortium:,,The BREEZE project has been structured to promote the Knowledge Triangle Integration (KTI) concept and the Consortium is a partnership from all three KTI fields: Aqua Pharma Group on the commercial side, Pulcea from the research field and the NTNU from academia.,The project is also supported by the University of Stirling, Scotland, providing scientific verification of the efficacy of the Pulcea technology. Other parties from the different sides of the knowledge triangle (our external partners SAIC, Solvay, and Novozymes) as well as salmon farming companies, will also be involved as the project progresses."," Domain: Aquaculture Level 1: Fish Health Management Level 2: Innovative Treatment for Sea Lice Tolerance","Aquaculture","Fish Health Management","Innovative Treatment for Sea Lice Tolerance","Aquaculture Fish Health Management Innovative Treatment for Sea Lice Tolerance","Aquaculture","Research and Development/Economy and Fisheries"
501,"A consortium including Moog Controls Ltd, Renishaw Plc and the University of Bath has been funded to investigate new integrated motion control devices. The consortium are conducting research and development in the fields of selective laser melting, piezoelectric actuation and non-contact absolute digital position sensing. The technical aims of this work are to radically change the shape, architecture and performance of motion control devices for aerospace and industrial markets.. The non-technical aims of this work are to retain high quality engineering jobs in the UK, reduce material waste, and reduce weight of aerospace components."," Domain: Engineering Level 1: Motion Control Devices Level 2: Integrating New Technologies in Aerospace and Industrial Applications","Engineering","Motion Control Devices","Integrating New Technologies in Aerospace and Industrial Applications","Engineering Motion Control Devices Integrating New Technologies in Aerospace and Industrial Applications","Aerospace/Industrial","Engineering/Research and Development/Economy"
245,"My Personal Therapeutics"," Domain: Personalized Medicine Level 1: Individualized Treatment Plans Level 2: Combining Genomic Data and Medical Histories for Predictive Analysis","Personalized Medicine","Individualized Treatment Plans","Combining Genomic Data and Medical Histories for Predictive Analysis","Personalized Medicine Individualized Treatment Plans Combining Genomic Data and Medical Histories for Predictive Analysis","Pharmaceutical","Biotechnology"
584,"Patient derived xenograft (PDX) models are powerful tools used by scientists studying cancer and in ,discovery of new cancer treatments. Each one is grown from a sample of a cancerous tumour donated by a,,cancer sufferer: so they are precious, valuable and useful. But scientists find it hard to find suitable ones,,for their work and so many spend a lot of time testing them, just to collect the same basic information over,,and over again. Repositive is creating an online platform for scientists to find PDX models and data to,,make sure that they are the best ones for their work. This project, costing £29,968 and lasting 3 months,,,funds us build the platform with the help of PDX model providers and pharmaceutical companies who use,,them often, and who will give us feedback on our concepts and designs. It will save 3 months of,,development time and will enable us to make sure that they find the platform valuable and use it when it,,is completed. In future it will help companies to save up to 6 months in drug discovery time, so that new,,treatments can be identified and brought to market more quickly and at lower cost than now.","Domain: Biomedical Level 1: Cancer Research Level 2: Patient derived xenograft (PDX) models and data ","Biomedical","Cancer Research","Patient derived xenograft (PDX) models and data ","Biomedical Cancer Research Patient derived xenograft (PDX) models and data","Pharmaceutical Manufacturing","Biotechnology"
577,"To dramatically improve their allergen segregation capabilities, the company has to implement novel manufacturing processes that aim to minimise cross contamination between ingredients. This represents a significant technological leap as the necessary adapation of their production line should allow enough flexibility to maintain similar productivity rate."," Domain: Manufacturing Processes Level 1: Optimization of Allergen Segregation Level 2: Novel Processes for Minimizing Cross Contamination","Manufacturing Processes","Optimization of Allergen Segregation","Novel Processes for Minimizing Cross Contamination","Manufacturing Processes Optimization of Allergen Segregation Novel Processes for Minimizing Cross Contamination","Manufacturing","Food Technology"
454,"Just Jaks was founded in April 2011. The company specialises in making Childrens Fruity Oat Bar Baking Kits. Each baking kit contains our special oat mix alongside one of our dried fruit, seed and nut flavour combinations. We make our baking mixes from simple, wholesome ingredients and we use dried fruit to sweeten our oat bars so unlike many traditional oat snacks such as flapjacks you do not need to add sugar to this recipe. Also there are no artificial flavours, colours and preservatives in any of our kits.  We just pack our bars full of wholegrain and goodness."," Domain: Food and Nutrition Level 1: Healthy Snacks Possible Level 2: Children's Baking Kits and Oat Bars","Food and Nutrition","Healthy Snacks Possible","Children's Baking Kits and Oat Bars","Food and Nutrition Healthy Snacks Possible Children's Baking Kits and Oat Bars","Food and Beverage","Consumer Goods"
213,"Emblation is an established manufacturer of microwave medical devices and wishes to shrink the volume of one of its products to a handheld device and make a step reduction in its cost of goods. With a smaller and cheaper device, adoption rates will increase and new markets can be addressed. ArQana Technologies is an experienced designer and supplier of microwave source components based in Singapore. Offering a range of amplifiers, control components and transistors, arQana specialises in semiconductor component designs that can meet Emblation’s needs to improve the efficiency on generating microwave energy at a significantly lower cost than the existing product implementation."," Domain: Medical Technology Level 1: Microwave Devices Level 2: Shrinking Size and Reducing Cost for Handheld Use","Medical Technology","Microwave Devices","Shrinking Size and Reducing Cost for Handheld Use","Medical Technology Microwave Devices Shrinking Size and Reducing Cost for Handheld Use","Manufacturing","Technology/Electronics"
551,"The world is currently undergoing a strategic energy transition. Huge amounts of capital are being committed to renewable energy technologies in the way of debt funding, Venture Capital and Private Equity investment as well as insurance premiums and pension fund investments. ,Whilst financial market actors chase lucrative opportunities, the risks are also high. In particular, the potential for variability in asset performance presents significant challenges for those planning pricing strategies, pricing financial risk, monitoring financial exposures or assessing the attractiveness of potential future investments. Sound electricity market modelling is thus of significant value for financial services as well as energy operators.,,A common requirement is the need to understand how assets, or portfolios of assets, will perform over different future timeframes. The BELIEVE project will provide improved strategic insight on the future operational and financial performance of electricity generation assets across a range of business-relevant timeframes. We will do this through an enhanced capability to model future returns from generation assets ('economic dispatch').,,In the context of the BELIEVE project, 'economic dispatch' means the modelling of the market dynamics of energy systems. This capability is required by financial services organisations to explore the future revenue generation potential, and hence the valuation of, individual assets or portfolios of assets. This insight is required over a range of timeframes from months to decades. This contrasts with 'operational dispatch', which is about hourly or sub-hourly decision-making and is primarily the concern of asset operators.,,The current state of the art in economic dispatch tends to neglect the challenges posed by the increased penetration of variable renewable energy (primarily wind and solar). Through the BELIEVE project our aim is to enrich traditional economic dispatch modelling by incorporating the effects of weather variability, in both the present and future climates. We will demonstrate the utility of this enhanced modelling capability in markets with increasing proportions of variable renewable generation.,,The result will be a highly innovative and powerful modelling capability that represents a more comprehensive methodology for asset valuations, with the potential to provide significant additional insight for financial services actors.,,BELIEVE will be led by the Institute for Environmental Analytics, a leading centre for applied weather and climate analytics at the University of Reading."," Domain: Energy Transition Level 1: Strategic Energy Transition Level 2: Economic Dispatch Modelling for Renewable Energy Markets","Energy Transition","Strategic Energy Transition","Economic Dispatch Modelling for Renewable Energy Markets","Energy Transition Strategic Energy Transition Economic Dispatch Modelling for Renewable Energy Markets","Finance/Financial Services","Energy/Energy Technology"
486,"The project consortium, which includes M-Solv (process developer and small-scale capacitive touch sensor (CTS) manufacturer), Thomas Swan (graphene manufacturer), Printed Electronics Ltd (inkjet ink formulator) and University of Surrey, aims to bring innvoations to CTS manufacture. CTS comprises of structured transparent conductors (TC), which sense the capacitance variations when fingers approaches. Conventional CTS are made of TC, indium tin oxide (ITO), in which indium is known to be scarce and hence expensive in the near future. This project will explore the use of silver nanowire (AgNW), together with graphene to replace ITO for fabricating CTS at a much lower cost."," Domain: Materials Science and Engineering Level 1: Advanced Materials Level 2: Alternative Transparent Conductors for Capacitive Touch Sensors","Materials Science and Engineering","Advanced Materials","Alternative Transparent Conductors for Capacitive Touch Sensors","Materials Science and Engineering Advanced Materials Alternative Transparent Conductors for Capacitive Touch Sensors","Manufacturing","Research and Development/Electronics Production"
542,"One of the key barriers to the more widespread adoption of high performance carbon fibre-reinforced polymer composites in the automotive sector is the difficulty in achieving the required short cycle time, high volume production to satisfy the requirements of mainstream applications. With thermosetting-based composite systems this is particularly challenging because of their reliance on a definite cure schedule. Thermoplastic-based systems on the other hand, which can be reversibly heated, formed and cooled, offer more flexibility in this respect. Therefore, the objective of the proposed project is to develop a short cycle time, high volume manufacturing process for carbon fibre-reinforced thermoplastic components. The vision is to develop production technologies for the rapid “stamp-forming” of CFRP parts in a fashion that is somewhat analogous to the stamping of sheet metals. In addition to providing the automotive sector with a viable processing route for high performance composite components, the technology should also be transferable to medium volume aerospace parts."," Domain: Manufacturing Level 1: High Performance Carbon Fibre-Reinforced Polymer Composites Level 2: Short Cycle Time, High Volume Manufacturing Process for Thermoplastic Components","Manufacturing","High Performance Carbon Fibre-Reinforced Polymer Composites","Short Cycle Time, High Volume Manufacturing Process for Thermoplastic Components","Manufacturing High Performance Carbon Fibre-Reinforced Polymer Composites Short Cycle Time, High Volume Manufacturing Process for Thermoplastic Components","Manufacturing","Automotive/Aerospace"
69,"To establish a hepatotoxicity biomarker database in zebrafish embryos (ZFEs) using compounds with known toxicities. To use this database in parallel with OGeS''s existing OGAP database to select and validate potential drug safety protein biomarkers in both ZFEs and rodents (and ultimately, man). To develop highthroughput Ordered Peptide Array (OPA) screens initially, followed by antibody (Ab) based platform technologies. Biomarkers will be selected on the basis of quantitative changes correlating to characteristic morphologic and/or phenotypic observations in ZFE. Commercialised OPA and/or Ab screens (applicable to zebrafish, rat and human samples) will be offered to pharma industry in parallel to phenotypic zebrafish screens to improve drug discovery efficiency in preclinical safety asessment initially, with potential clinical applications explored subsequently. and hepatotoxicity."," Domain: Biotechnology Level 1: Drug Safety Biomarker Development Level 2: High Throughput Biomarker Screening and Validation in Zebrafish Embryos","Biotechnology","Drug Safety Biomarker Development","High Throughput Biomarker Screening and Validation in Zebrafish Embryos","Biotechnology Drug Safety Biomarker Development High Throughput Biomarker Screening and Validation in Zebrafish Embryos","Biotechnology","Pharmaceutical/Drug Discovery/Biomedical Research"
524,"There are c103M refugees in the world (UNHCR 2022), with c33M needing life-sustaining heating in locations where the temperature drops below 10°C in the winter months or during night hours (InfoMigrants 2022). The impact of the cold weather is enormous, with numerous life-threatening health impacts. 6.3M refugee households need safer, better, greener heating (UNHCR 2022). Current heating methods include diesel heaters and burning of materials such as kerosene, firewood and bottled gas, leading to fires, releases of toxic fumes and harm to the environment. UNHCR reported 1100 deaths from refugee campfires in 2021 alone. Current heating methods are very expensive, cUSD300/refugee household/year (IEA 2022). Alternatives such as firewood are cheaper but use vital resources, are high in CO2 impact and present safety and exclusion risks for women collecting the wood (Erin 2007). Removing the need to burn firewood in refugee camps would save c1.5m tonnes CO2/year (UNHCR 2020). Solar PV systems can reduce CO2 emissions by 45 to 70g CO2/kWh) compared to fossil fuel-based solutions (IEA 2021). With PV costs dropping by 80% between 2010-20 (IRENA 2021), opportunities to unlock clean power for heating solutions are becoming financially viable. ,Mat Zero can alleviate these issues through its innovative solar-powered heating solution. The project will target how to integrate design for repair within the product to increase the longevity of the product from a user-centric approach and outline the social impact around job creation for local repair and recycling teams.,,The goals of the project are:,,1. Assess current design and life cycle analysis concerning End-Of-Life and Cradle to Cradle,2. Evaluate materials for design for durability and resilience for the heated mat and battery (design for durability).,3. Construct guidelines and analyse the social impact of implementing local repair teams to carry out repairs and maintenance on products, providing education and jobs.,4. Implement modularity within the battery unit for ease of accessibility for repair teams. This may include standardisation of parts within the battery unit.,5. Integrate design for repair principles within the design while incorporating the user experience for the heated mat and battery unit to extend the product lifecycle especially when referring to the heating element and battery unit.,6. Integrate design for disassembly for the battery unit to be able to recycle the battery unit and mat and reduce end-of-life impact.,7. Receive users' feedback throughout the project to ensure that the design meets end-users needs"," Domain: Refugee Crisis Level 1: Sustainable Heating Solutions in Refugee Camps Level 2: Integration of Design for Repair in Solar-Powered Heating Products","Refugee Crisis","Sustainable Heating Solutions in Refugee Camps","Integration of Design for Repair in Solar-Powered Heating Products","Refugee Crisis Sustainable Heating Solutions in Refugee Camps Integration of Design for Repair in Solar-Powered Heating Products",NA,NA
370,"Currently eMobility is transforming from niche to mainstream worldwide. Nearly all OEMs published their roadmaps to a more electrified portfolio. BMW-UK-BEV aims for electrified powertrain solutions enabling full replication of ICE vehicle-ranges. The Team develops a new UK supply chain for batteries addressing UK Government targets for industrial growth, generation&safeguarding jobs and transformation of industry to support zero-emission-mobility. ,Core deliverables,,* Batteries compensating ICE vehicle range,* High-value Batterysystem ready for low-volume production,* Lightweight performance plastic components,* Environmentally friendly dielectric fluid enhancing performance,* Establish a value chain,* Positive outcome to UK GDP,* Contribution to the transformation of industry to zero emission transport"," Domain: Automotive Industry Level 1: Electric Vehicle Technology Level 2: Supply Chain Development and Job Creation in the UK","Automotive Industry","Electric Vehicle Technology","Supply Chain Development and Job Creation in the UK","Automotive Industry Electric Vehicle Technology Supply Chain Development and Job Creation in the UK","Manufacturing","Automotive/Electric Vehicles"
261,"Almost 460,000 people a year are diagnosed with pancreatic cancer across the world, with the number of cases predicted to rise by 6% over the coming decades due to a plateau in research developments and therapeutic advancements. Unfortunately, due to non-specific symptoms which often present late, and the current sub-optimal diagnostic tests for pancreatic cancer, it is often only diagnosed in the later stages of the disease, and usually when it has already spread to secondary locations. The survival statistics are alarming, with less than 30% of patients suitable candidates for receiving any surgery or treatment after diagnosis and over 75% of patients do not survive for more than a year. ,The current blood test for diagnosis of pancreatic cancer is wholly inadequate, being only raised in ~50% of cases, also raised in a plethora of other benign unrelated conditions, or does not detect the cancer until late in the disease progression. Furthermore, there is currently no screening tool for people who are at high risk of developing pancreatic cancer.,,GenoME builds on its success with OvaME, a blood test for early detection of ovarian cancer. We are now aiming to develop a simple blood test which detects specific modifications of DNA (DNA methylation) which are present in the early stages of pancreatic cancer. Our candidate DNAme markers display potential superior accuracy and reliability over the current pancreatic cancer blood test, potentially improving the survival and quality of life of those affected. Whilst this test, PanME, will initially be launched as a diagnostic tool for symptomatic individuals, the long-term ambition for GenoME is to market the test as the world's first screening tool for pancreatic cancer. Post launch, this would require a larger long-term clinical validation in order to define a pancreatic screening programme.,,The PanME pancreatic cancer test is the second product for the company. Successful demonstration of applying our platform technology to a new disease area will enable us to raise the further critical funds required to expand our biomarker development for not just other cancer types but also a multitude of various other diseases which have classically lacked in research and diagnostic improvements or knowledge, such as endometriosis.","Topic: Cancer research and diagnostic improvements Domain: Medical Level 1: Cancer diagnosis and treatments Level 2: Early detection and screening tools for pancreatic cancer","Medical","Cancer diagnosis and treatments","Early detection and screening tools for pancreatic cancer","Medical Cancer diagnosis and treatments Early detection and screening tools for pancreatic cancer","Healthcare","Research and Development/Economy"
471,"Using Artificial Intelligence in commercialising hidden Intellectual property in healthcare and pharmaceutical businesses."," Domain: Healthcare and Pharmaceutical Businesses Level 1: Commercialization of Hidden Intellectual Property Level 2: Utilizing Artificial Intelligence in Product Development and Marketing","Healthcare and Pharmaceutical Businesses","Commercialization of Hidden Intellectual Property","Utilizing Artificial Intelligence in Product Development and Marketing","Healthcare and Pharmaceutical Businesses Commercialization of Hidden Intellectual Property Utilizing Artificial Intelligence in Product Development and Marketing","Healthcare/Pharmaceutical","Artificial Intelligence/Intellectual Property"
528,"The recent innovations in Artificial Intelligence have sent disrupting waves across all industries, and across the Education sector in particular. Schools around the world have banned the use of ChatGPT, fearing its impact on learning, while edtech startups embraced the opportunity to lower barriers to education. The divide between offline and online learning grows stronger, and schools and higher education are forced to offer hybrid approaches to learning. ,Knowledge has become a commodity. To remain relevant and economically competitive, learning institutions need to adapt, and refocus their pedagogical approach not on the knowledge itself, but on its delivery mechanisms, such that students will thrive in their learning, be supported when encountering difficulties and be enticed to continuously learn.,,This project is led by Music Hackspace, an online learning platform for music technologies, and the Creative Computing Institute of University of the Arts London. It focuses on studying the feasibility of personalised learning journeys, using an existing repository of over 300 on-demand courses created by Music Hackspace between 2020 and 2023\. The project will analyse the transcripts of Music Hackspace courses to help students discover new content and decide what to study, with a conversational tool that offers bespoke advice based on student needs and contexts.,,Both teams have collaborated on a IUK grant in 2021, to build a Machine Learning powered engine to rank courses by complexity. This project is a continuation of the successful research started then, but which didn't use large language models. The teams have an existing codebase and prototype, a clear IP strategy, and are used to working together.,,This project leverages three key components: (1) the world-class Machine Learning and music technology expertise of Prof Rebecca Fiebrink's team, (2) the experience of teaching online and in-person of academics and professionals, (3) a thriving startup ideally positioned to integrate the results of this research to gain traction and market share.,,Statista estimates the global e-learning market to grow CAGR 9.84%(2023:£133B,2027:£191B), while the global music e-learning segment grows twice as fast (2023: £174M,2027:£341M/CAGR:18.40%, Research&Markets), highlighting an urgent need to bolster the UK position in this rapidly growing sector. Machine Learning is key to differentiating innovation in this space. Successful completion of this project is projected to increase MHS's revenue by 62% over its current forecast, underscoring the transformative potential of AI in education."," Domain: Education Level 1: Integration of Artificial Intelligence in Education Level 2: Personalized Learning Journeys and Course Recommendations","Education","Integration of Artificial Intelligence in Education","Personalized Learning Journeys and Course Recommendations","Education Integration of Artificial Intelligence in Education Personalized Learning Journeys and Course Recommendations","Education","AI/Edtech/Online Learning"
